species,sp,subspecies,description_citation,genus,group,subfamily,common_name,max_length_mm,length_measure,mass_g,phylo,dist_map,occ_recs,diet_recs,countries,notes,citations
Crotalus_mictlantecuhtli,Cmict,,"Carbajal-Márquez, Cedeño-Vázquez, Martínez-Arce, Neri-Castro & Machkour-M’Rabet 2020",Crotalus,NW_Crotalinae,Crotalinae,Veracruz Neotropical rattlesnake,1800,TL,2882.99,,X,,,Mexico,,
Crotalus_mitchellii,Cmitc,,Cope 1861,Crotalus,NW_Crotalinae,Crotalinae,Speckled Rattlesnake; German: Gefleckte Klapperschlange,1000,TL,400,,X,,,Mexico,,Campbell and Lamar 2004
Crotalus_molossus,Cmolo,Crotalus molossus molossus (Baird & Girard 1853); Crotalus molossus nigrescens (Gloyd 1936); Crotalus molossus oaxacus (Gloyd 1948),Baird & Girard 1853,Crotalus,NW_Crotalinae,Crotalinae,"Black Tailed Rattlesnake, Northern Black Tailed Rattlesnake, nigrescens: Mexican black-tailed Rattlesnake, oaxacus: Oaxacan Black-tailed Rattlesnake); German: Schwarzschwanz-Klapperschlange",1370,TL,1302.74,,X,,,Mexico; United States of America,,
Crotalus_morulus,Cmoru,,Klauber 1952,Crotalus,NW_Crotalinae,Crotalinae,Tamaulipan Rock Rattlesnake,840,TL,313.8,,X,,,Mexico,,
Crotalus_oreganus,Coreg,,Holbrook 1840,Crotalus,NW_Crotalinae,Crotalinae,Northern Pacific Rattlesnake; German: Oregon-Klapperschlange,1625,TL,2140.84,,X,,,Canada; United States of America,,
Crotalus_ornatus,Corna,,Hallowell 1854,Crotalus,NW_Crotalinae,Crotalinae,"Ornate Black- tailed Rattlesnake, Black-tailed Rattlesnake",1300,SVL,1266.25,,X,,,Mexico; United States of America,,
Crotalus_polisi,Cpoli,,"Meik, Schaack, Flores-Villela & Streicher 2018",Crotalus,NW_Crotalinae,Crotalinae,Horsehead Island speckled rattlesnake,1000,TL,400,,X,,,Mexico,,
Crotalus_polystictus,Cpoly,,Cope 1865,Crotalus,NW_Crotalinae,Crotalinae,Mexican Lancehead Rattlesnake,1000,TL,521.19,,X,,,Mexico,,
Crotalus_pricei,Cpric,Crotalus pricei pricei (Van Denburgh 1895); Crotalus pricei miquihuanus (Gloyd 1940),Van Denburgh 1895,Crotalus,NW_Crotalinae,Crotalinae,"pricei: Western Twin Spotted Rattlesnake, Arizona Twin Spotted Rattlesnake; German: Prices Klapperschlange, miquihuanus: Eastern Twin Spotted Rattlesnake",670,TL,162.51,,X,,,Mexico; United States of America,,
Crotalus_pusillus,Cpusi,,Klauber 1952,Crotalus,NW_Crotalinae,Crotalinae,Tancitaran Dusky Rattlesnake,682,TL,171.12,,X,,,Mexico,,
Crotalus_pyrrhus,Cpyrr,Crotalus pyrrhus muertensis; Crotalus pyrrhus pyrrhus,Cope 1866,Crotalus,NW_Crotalinae,Crotalinae,Southwestern Speckled Rattlesnake; German: Südwestliche Gefleckte Klapperschlange,1000,TL,400,,X,,,Mexico; United States of America,,
Crotalus_ravus,Cravu,,Cope 1865,Crotalus,NW_Crotalinae,Crotalinae,"Mexican Pygmy Rattlesnake, Central Plateau Pygmy Rattlesnake",700,TL,184.6,,X,,,Mexico,,
Crotalus_ruber,Crube,Crotalus ruber exsul (Garman 1884); Crotalus ruber ruber (Cope 1892); Crotalus ruber lucasensis (Van Denburgh 1920),Cope 1892,Crotalus,NW_Crotalinae,Crotalinae,"Red Diamond Rattlesnake (exsul: Cedros Island Rattlesnake, lucasensis: San Lucan Rattlesnake, ruber: Red Diamond Rattlesnake, monserratensis: Red Rattlesnake); German: Rote Diamant-Klapperschlange",1650,TL,2238.09,,X,,,Mexico; United States of America,,
Crotalus_scutulatus,Cscut,Crotalus scutulatus salvini (Günther 1895); Crotalus scutulatus scutulatus (Kennicott 1861),Kennicott 1861,Crotalus,NW_Crotalinae,Crotalinae,"scutulatus: Mojave (Green) Rattlesnake, salvini: Huamantlan Rattlesnake; German: Mojave-Klapperschlange",1400,TL,1387.5,,X,,,Mexico; United States of America,,
Crotalus_simus,Csimu,,Latreille 1801,Crotalus,NW_Crotalinae,Crotalinae,Middle American Rattlesnake,1800,TL,2882.99,,X,,,Belize; Costa Rica; El Salvador; Guatemala; Honduras; Mexico; Nicaragua,,
Crotalus_stejnegeri,Cstej,,Dunn 1919,Crotalus,NW_Crotalinae,Crotalinae,Sinaloan Long-tailed Rattlesnake; Spanish: Cascabel Cola-larga de Sinaloa,724,TL,203.63,,X,,,Mexico,,
Crotalus_stephensi,Cstep,,Klauber 1930,Crotalus,NW_Crotalinae,Crotalinae,Panamint Rattlesnake; German: Panamint-Klapperschlange,1320,TL,1169.15,,X,,,United States of America,,
Crotalus_tancitarensis,Ctanc,,Alvarado-Díaz & Campbell 2004,Crotalus,NW_Crotalinae,Crotalinae,,410,TL,38.92,,X,,,Mexico,,
Crotalus_thalassoporus,Cthal,,"Meik, Schaack, Flores-Villela & Streicher 2018",Crotalus,NW_Crotalinae,Crotalinae,Louse Island speckled rattlesnake,1000,TL,400,,X,,,Mexico,,
Crotalus_tigris,Ctigr,,Kennicott 1859,Crotalus,NW_Crotalinae,Crotalinae,Tiger Rattlesnake; German: Tiger-Klapperschlange,910,TL,396.11,,X,,,Mexico; United States of America,,
Crotalus_tlaloci,Ctlal,,"Bryson, Linkem, Dorcas, Lathrop, Jones, Alvarado-Díaz, Grünwald & Murphy 2014",Crotalus,NW_Crotalinae,Crotalinae,,521,TL,78.16,,X,,,Mexico,,
Crotalus_totonacus,Ctoto,,Gloyd & Kauffeld 1940,Crotalus,NW_Crotalinae,Crotalinae,Totonacan Rattlesnake,1800,TL,2882.99,,X,,,Mexico,,
Crotalus_transversus,Ctran,,Taylor 1944,Crotalus,NW_Crotalinae,Crotalinae,Cross-banded Mountain Rattlesnake,465,TL,56.14,,X,,,Mexico,,
Crotalus_triseriatus,Ctris,,Wagler 1830,Crotalus,NW_Crotalinae,Crotalinae,"Western Dusky Rattlesnake, Central Plateau Dusky Rattlesnake",683,TL,171.86,,X,,,Mexico,,
Crotalus_tzabcan,Ctzab,,Klauber 1952,Crotalus,NW_Crotalinae,Crotalinae,Yucatan Neotropical Rattlesnake,1555,TL,1883.37,,X,,,Belize; Guatemala; Mexico,,
Crotalus_unicolor,Cunic,,Van Lidth De Jeude 1887,Crotalus,NW_Crotalinae,Crotalinae,Aruba Island Rattlesnake; German: Aruba-Klapperschlange,950,TL,1400,,X,,,Aruba,,Jacksonville Zoo
Crotalus_vegrandis,Cvegr,,Klauber 1941,Crotalus,NW_Crotalinae,Crotalinae,Uracoan Rattlesnake; German: Uracoa-Klapperschlange,684,TL,1200,,X,,,Venezuela,,"Klauber LM. 1997. Rattlesnakes: Their Habitats, Life Histories, and Influence on Mankind. Second Edition. 2 volumes. Reprint, University of California Press, Berkeley."
Crotalus_viridis,Cviri,Crotalus viridis nuntius (Klauber 1935); Crotalus viridis viridis (Rafinesque 1818),Rafinesque 1818,Crotalus,NW_Crotalinae,Crotalinae,"viridis: Western Rattlesnake, Prairie Rattlesnake, nuntius: Hopi Rattlesnake; German: Prärie-Klapperschlange; German: nuntius: Hopi-Klapperschlange",1650,TL,2238.09,,X,,,Canada; Mexico; United States of America,,
Crotalus_willardi,Cwill,Crotalus willardi amabilis (Anderson 1962); Crotalus willardi meridionalis (Klauber 1949); Crotalus willardi obscurus (Harris 1974); Crotalus willardi silus (Klauber 1949); Crotalus willardi willardi (Meek 1905),Meek 1905,Crotalus,NW_Crotalinae,Crotalinae,"willardi: Arizona Ridgenose Rattlesnake, obscurus: New Mexico Ridgenose Rattlesnake, amabilis: Del Nido Ridge-nosed Rattlesnake, meridionalis: Southern Ridge-nosed Rattlesnake, silus: Western Chihuahuan Ridge-nosed Rattlesnake); German: Willards Klapperschlange, Kantenkopf-Klapperschlange",670,TL,162.51,,X,,,Mexico; United States of America,,
Daboia_mauritanica,Dmaur,,Gray 1849,Daboia,Viperinae,Viperinae,Moorish Viper; German: Atlasotter; German: Saharaotter [deserti],1810,TL,2929.85,,roll,,,Algeria; Libya; Mauritania; Morocco; Spain; Tunisia; Western Sahara,,
Daboia_palaestinae,Dpala,,Werner 1938,Daboia,Viperinae,Viperinae,Palestine Viper; German: Palästinaviper,1500,TL,1696,,roll,,,Gaza Strip; Israel; Jordan; Lebanon; Syria; West Bank,,
Daboia_russelii,Druss,,Shaw & Nodder 1797,Daboia,Viperinae,Viperinae,Russel’s Viper; German: Kettenviper,1850,TL,3122.26,,roll,,,Bangladesh; Bhutan; China; India; Myanmar; Nepal; Pakistan; Sri Lanka,,
Daboia_siamensis,Dsiam,,Smith 1917,Daboia,Viperinae,Viperinae,Eastern Russel’s Viper; German: Östliche Kettenviper; Chinese: 泰国圆斑蝰,1500,TL,1696,,roll,,,Cambodia; China; Hong Kong S.A.R.; Indonesia; Macau S.A.R; Myanmar; Taiwan; Thailand; Vietnam,,
Deinagkistrodon_acutus,Dacut,,Günther 1888,Deinagkistrodon,OW_Crotalinae,Crotalinae,"Chinese Moccasin, Hundred-pace viper, five-pacer viper; German: Chinesischer Kupferkopf, Chinesische Nasenotter; Chinese: 尖吻蝮",1490,TL,1663.31,,roll,,,China; Taiwan; Vietnam,,
Echis_borkini,Ebork,,Cherlin 1990,Echis,Viperinae,Viperinae,,555,TL,93.95,,roll,,,Saudi Arabia; Yemen,,
Echis_carinatus,Ecari,Echis carinatus carinatus (Schneider 1801); Echis carinatus sochureki (Stemmler 1969),Schneider 1801,Echis,Viperinae,Viperinae,"Saw-scaled Viper, Phoorsa, Sindh Saw-scaled Viper [sochureki]; German: Sandrasselotter",800,TL,272.27,,roll,,,Afghanistan; China; India; Iran; Iraq; Kazakhstan; Nepal; Oman; Pakistan; Qatar; Saudi Arabia; Sri Lanka; Tajikistan; Turkmenistan; United Arab Emirates; Uzbekistan,,
Echis_coloratus,Ecolo,Echis coloratus coloratus (Günther 1878); Echis coloratus terraesanctae (Babocsay 2003),Günther 1878,Echis,Viperinae,Viperinae,"Palestine Saw-scaled Viper, Burton’s carpet viper; German: Arabische Sandrasselotter",900,TL,383.57,,roll,,,Egypt; Israel; Jordan; Lebanon; Oman; Saudi Arabia; West Bank; Yemen,,
Echis_hughesi,Ehugh,,Cherlin 1990,Echis,Viperinae,Viperinae,Hughes' Saw-scaled Viper,850,TL,324.79,,roll,,,Somalia,,
Echis_jogeri,Ejoge,,Cherlin 1990,Echis,Viperinae,Viperinae,Joger's Saw-scaled Viper,300,TL,15.68,,roll,,,Guinea; Mali; Senegal,,
Echis_khosatzkii,Ekhos,,Cherlin 1990,Echis,Viperinae,Viperinae,,600,TL,117.87,,roll,,,Oman; Yemen,,
Echis_leucogaster,Eleuc,,Roman 1972,Echis,Viperinae,Viperinae,Roman's Saw-scaled Viper,870,TL,347.54,,roll,,,Burkina Faso; Cameroon; Chad; Gambia; Mali; Mauritania; Morocco; Niger; Senegal; Western Sahara,,
Echis_megalocephalus,Emega,,Cherlin 1990,Echis,Viperinae,Viperinae,"Large-headed Carpet Viper, Cherlin's Saw-scaled Viper",560,TL,96.43,,roll,,,Eritrea,,
Echis_ocellatus,Eocel,,Stemmler 1970,Echis,Viperinae,Viperinae,"African Saw-scaled Viper, West African carpet viper; German: Westafrikanische Augenfleck-Sandrasselotter",670,TL,162.51,,roll,,,Benin; Burkina Faso; Cameroon; Central African Republic; Chad; Gambia; Ghana; Guinea; Guinea Bissau; Ivory Coast; Mali; Mauritania; Niger; Nigeria; Senegal; Sierra Leone; Togo,,
Echis_omanensis,Eoman,,Babocsay 2004,Echis,Viperinae,Viperinae,Oman saw-scaled viper; German: Oman-Sandrasselotter,800,TL,272.27,,roll,,,Oman; United Arab Emirates,,
Echis_pyramidum,Epyra,Echis pyramidum pyramidum (Geoffroy Saint-Hilaire 1827); Echis pyramidum leakeyi (Stemmler & Sochurek 1969),Geoffroy Saint-Hilaire 1827,Echis,Viperinae,Viperinae,"North-East African Carpet Viper, Egyptian Saw-scaled Viper",850,TL,324.79,,roll,,,Algeria; Central African Republic; Djibouti; Egypt; Eritrea; Ethiopia; Kenya; Libya; S. Sudan; Somalia; Somaliland; Sudan; Tunisia,,
Echis_romani,Eroma,,Trape 2018,Echis,Viperinae,Viperinae,,,,,,,,,,,
Eristicophis_macmahoni,Emacm,,Alcock & Finn 1897,Eristicophis,Viperinae,Viperinae,"McMahons Desert Viper, Asian sand viper; German: McMahon-Viper",719,TL,199.56,,roll,,,Afghanistan; Iran; Pakistan,,
Garthius_chaseni,Gchas,,Smith 1931,Garthius,OW_Crotalinae,Crotalinae,"Mount Kinabalu Pit Viper, Chasen’s mountain pitviper",690,TL,177.03,,roll,,,Malaysia,,
Gloydius_angusticeps,Gangu,,"Shi, Yang, Huang, Orlov & Li 2018",Gloydius,OW_Crotalinae,Crotalinae,Zoige pit viper; Chinese: Ruò ìr gài Fù,,,,,,,,,,
Gloydius_blomhoffii,Gblom,,Boie 1826,Gloydius,OW_Crotalinae,Crotalinae,"Mamushi; German: Mamushi, Russian: Восточный щитомордник",675,TL,166.06,,roll,,,Japan; North Korea; South Korea,,
Gloydius_brevicaudus,Gbrev,Gloydius brevicaudus brevicaudus (Stejneger 1907); Gloydius brevicaudus siniticus (Gloyd 1977),Stejneger 1907,Gloydius,OW_Crotalinae,Crotalinae,German: Kurzschwanz-Mamushi; Chinese: 短尾蝮,710,TL,192.38,,roll,,,China; North Korea; Taiwan,,
Gloydius_caraganus,Gcara,,Eichwald 1831,Gloydius,OW_Crotalinae,Crotalinae,Karaganda pitviper; German: Karaganda-Otter,740,TL,,,,,,,,"Orlov and Barabanov, 1999"
Gloydius_caucasicus,Gcauc,,Nikolsky 1916,Gloydius,OW_Crotalinae,Crotalinae,Caucasian pitviper; German: Kaukasus-Otter,,,,,,,,,,
Gloydius_cognatus,Gcogn,,Gloyd 1977,Gloydius,OW_Crotalinae,Crotalinae,Alashan pitviper; German: Alashan-Otter; Chinese: 阿拉善蝮,,,,,,,,,,
Gloydius_halys,Ghaly,Gloydius halys boehmei (Nilson 1983); Gloydius halys halys (Pallas 1776); Gloydius halys mogoi (Bour 1993); Gloydius halys ubsunurensis (Kropachev & Orlov 2017),Pallas 1776,Gloydius,OW_Crotalinae,Crotalinae,"Halys Pit Viper (halys: Siberian, boehmei: Böhme’s pitviper); German: Halys-Otter, Russian: Обыкновенный щитомордник; Chinese: 西伯利亚蝮",750,TL,225.65,,roll,,,Afghanistan; Azerbaijan; Baykonur Cosmodrome; China; India; Iran; Kazakhstan; Kyrgyzstan; Mongolia; Pakistan; Russia; Siachen Glacier; Tajikistan; Turkmenistan; Uzbekistan,,
Gloydius_himalayanus,Ghima,,Günther 1864,Gloydius,OW_Crotalinae,Crotalinae,Himalayan Pitviper,864,TL,340.61,,roll,,,Bangladesh; Bhutan; China; India; Nepal; Pakistan,,
Gloydius_huangi,Ghuan,,"Wang, Ren, Dong, Jiang, Shi, Siler & Che 2019",Gloydius,OW_Crotalinae,Crotalinae,"Pinyin: Lan Cang Fu (original Chinese in paper but not copyable), Lancang Plateau Viper; Chinese: 澜沧蝮",,,,,,,,,,
Gloydius_intermedius,Ginte,,Strauch 1868,Gloydius,OW_Crotalinae,Crotalinae,"Central Asian pitviper, Russian: Средний щитомордник; Chinese: 中介蝮",790,TL,262.48,,roll,,,Afghanistan; Azerbaijan; China; Iran; Mongolia; North Korea; Russia; South Korea; Turkmenistan,,
Gloydius_lijianlii,Gliji,,Jiang & Zhao 2009,Gloydius,OW_Crotalinae,Crotalinae,Chinese: 庙岛蝮,687,TL,174.8,,roll,,,China,,
Gloydius_liupanensis,Gliup,,"Liu, Song & Luo 1989",Gloydius,OW_Crotalinae,Crotalinae,Chinese: 六盘山蝮,570,TL,101.53,,,,,,,
Gloydius_monticola,Gmont,,Werner 1922,Gloydius,OW_Crotalinae,Crotalinae,Likiang pitviper; Chinese: 雪山蝮,498,TL,68.54,,roll,,,China,,
Gloydius_qinlingensis,Gqinl,,Song & Chen 1985,Gloydius,OW_Crotalinae,Crotalinae,Chinese: 秦岭蝮,,,,,,,,,,
Gloydius_rickmersi,Grick,,"Wagner, Tiutenko, Borkin & Simonov 2015",Gloydius,OW_Crotalinae,Crotalinae,,,,,,,,,,,
Gloydius_rubromaculatus,Grubr,,"Shi, Li & Liu 2017",Gloydius,OW_Crotalinae,Crotalinae,"Red-spotted alpine pit viper, Tongtianhe pit viper; Chinese: Hóng Bān Gāo Shān Fù (红斑高山蝮)",,,,,,,,,,
Gloydius_shedaoensis,Gshed,Gloydius shedaoensis shedaoensis (Zhao 1979); Gloydius shedaoensis qianshanensis (Li1999),Zhao 1979,Gloydius,OW_Crotalinae,Crotalinae,Shedao island pitviper; Chinese: 蛇岛蝮,990,TL,506.17,,roll,,,China,,
Gloydius_stejnegeri,Gstej,,Rendahl 1933,Gloydius,OW_Crotalinae,Crotalinae,Gobi pitviper); German: Gobi-Otter; Chinese: 华北蝮,,,,,,,,,,
Gloydius_strauchi,Gstra,,Bedriaga 1912,Gloydius,OW_Crotalinae,Crotalinae,Strauch’s pitviper; Chinese: 高原蝮,547,TL,90.06,,roll,,,China,,
Gloydius_tsushimaensis,Gtsus,,"Isogawa, Moriya & Mitsui 1994",Gloydius,OW_Crotalinae,Crotalinae,"Tsushima island pitviper, JapanesTsushima Mamushi",600,TL,117.87,,roll,,,Japan,,
Gloydius_ussuriensis,Gussu,,Emelianov 1929,Gloydius,OW_Crotalinae,Crotalinae,"Ussuri Mamushi, Russian: Уccурийский щитомордник; Chinese: 乌苏里蝮",650,TL,148.79,,roll,,,China; North Korea; Russia; South Korea,,
Hypnale_hypnale,Hhypn,,Merrem 1820,Hypnale,OW_Crotalinae,Crotalinae,Hump-nosed Moccasin; German: Indische Nasenotter,550,TL,91.51,,roll,,,India; Sri Lanka,,
Hypnale_nepa,Hnepa,,Laurenti 1768,Hypnale,OW_Crotalinae,Crotalinae,Sri Lanka Humpnose Viper,387,TL,32.9,,roll,,,Sri Lanka,,
Hypnale_zara,Hzara,,Gray 1849,Hypnale,OW_Crotalinae,Crotalinae,,407,SVL,58.01,,roll,,,Sri Lanka,,
Lachesis_acrochorda,Lacro,,Garcia 1896,Lachesis,NW_Crotalinae,Crotalinae,"Spanish: Verrugosa, Guascama",3000,TL,12747.44,,X,,,Colombia; Ecuador; Panama,,
Lachesis_melanocephala,Lmela,,Solórzano & Cerdas 1986,Lachesis,NW_Crotalinae,Crotalinae,Black-headed bushmaster; German: Schwarzkopf-Buschmeister,3900,TL,27352.56,,X,,,Costa Rica; Panama,,
Lachesis_muta,Lmuta,,Linnaeus 1766,Lachesis,NW_Crotalinae,Crotalinae,"South American Bushmaster; German: Südamerikanischer Buschmeister, rhombeata: Atlantic Forest bushmaster, NL: Bosmeester",3600,TL,21669.07,,X,,,Bolivia; Brazil; Colombia; Ecuador; France; Guyana; Peru; Suriname; Trinidad and Tobago; Venezuela,,
Lachesis_stenophrys,Lsten,,Cope 1875,Lachesis,NW_Crotalinae,Crotalinae,Central American bushmaster,3900,TL,27352.56,,X,,,Costa Rica; Nicaragua; Panama,,
Macrovipera_lebetinus,Mlebe,Macrovipera lebetinus lebetinus (Linnaeus 1758); Macrovipera lebetinus cernovi (Chikin & Szczerbak 1992); Macrovipera lebetinus obtusa (Dwigubsky 1832); Macrovipera lebetinus transmediterranea (Nilson & Andrén 1988); Macrovipera lebetinus turanica (Chernov 1939),Linnaeus 1758,Macrovipera,Viperinae,Viperinae,"Levantine Viper; German: Levanteotter, Russian: Гюрза",,,,,,,,Afghanistan; Akrotiri Sovereign Base Area; Armenia; Azerbaijan; Cyprus; Dhekelia Sovereign Base Area; Georgia; India; Iran; Iraq; Israel; Jordan; Kyrgyzstan; Northern Cyprus; Pakistan; Russia; Syria; Tajikistan; Turkey; Turkmenistan; Uzbekistan,,
Macrovipera_razii,Mrazi,,"Oraie, Rastegar-Pouyani, Khosrovani, Moradi, Akbari, Sehhatisabet, Shafiei, Stümpel & Joger 2018",Macrovipera,Viperinae,Viperinae,Razi’s Viper,,,,,,,,,,
Macrovipera_schweizeri,Mschw,,Werner 1935,Macrovipera,Viperinae,Viperinae,German: Milosotter,1070,TL,634.61,,roll,,,Greece,,
Metlapilcoatlus_indomitus,Mindo,,Smith & Ferrari-Castro 2008,Metlapilcoatlus,NW_Crotalinae,Crotalinae,,573,TL,103.09,,X,,,Honduras; Nicaragua,,
Metlapilcoatlus_mexicanus,Mmexi,,"Duméril, Bibron & Duméril 1854",Metlapilcoatlus,NW_Crotalinae,Crotalinae,Central American Jumping Pit Viper,900,TL,383.57,,X,,,Belize; Costa Rica; Guatemala; Honduras; Mexico; Nicaragua; Panama,,
Metlapilcoatlus_nummifer,Mnumm,,Rüppell 1845,Metlapilcoatlus,NW_Crotalinae,Crotalinae,Jumping Pit Viper,870,TL,347.54,,X,,,Mexico,,
Metlapilcoatlus_occiduus,Mocci,,Hoge 1966,Metlapilcoatlus,NW_Crotalinae,Crotalinae,,795,TL,267.34,,X,,,El Salvador; Guatemala; Honduras; Mexico,,
Metlapilcoatlus_olmec,Molme,,"Perez-Higareda, Smith, Julia-Zertuche 1985",Metlapilcoatlus,NW_Crotalinae,Crotalinae,Olmecan Pit Viper,770,TL,243.61,,X,,,Guatemala; Mexico,,
Mixcoatlus_barbouri,Mbarb,,Dunn 1919,Mixcoatlus,NW_Crotalinae,Crotalinae,Barbour's Montane Pit Viper,510,TL,73.46,,X,,,Mexico,,
Mixcoatlus_browni,Mbrow,,Shreve 1938,Mixcoatlus,NW_Crotalinae,Crotalinae,Brown’s Montane Pit Viper,480,TL,61.58,,X,,,Mexico,,
Mixcoatlus_melanurus,Mmela,,Müller 1924,Mixcoatlus,NW_Crotalinae,Crotalinae,Black-tailed Horned Pitviper,578,TL,105.73,,X,,,Mexico,,
Montatheris_hindii,Mhind,,Boulenger 1910,Montatheris,Viperinae,Viperinae,Kenya Montane Viper,350,TL,24.56,,roll,,,Kenya,,
Montivipera_albizona,Malbi,,"Nilson, Andren & Flärdh 1990",Montivipera,Viperinae,Viperinae,,780,TL,252.93,,roll,,,Turkey,,
Montivipera_bornmuelleri,Mborn,,Werner 1898,Montivipera,Viperinae,Viperinae,Lebanon Viper; German: Libanesische Bergotter,740,TL,217,,roll,,,Israel; Lebanon; Syria; Turkey,,
Montivipera_bulgardaghica,Mbulg,,Nilson & Andren 1985,Montivipera,Viperinae,Viperinae,,750,TL,225.65,,roll,,,Turkey,,
Montivipera_kuhrangica,Mkuhr,,"Rajabizadeh, Nilson & Kami 2011",Montivipera,Viperinae,Viperinae,Kuhrang mountain viper,667,TL,160.4,,roll,,,Iran,,
Montivipera_latifii,Mlati,,"Mertens, Darevsky & Klemmer 1967",Montivipera,Viperinae,Viperinae,Latifi's Viper,790,TL,262.48,,roll,,,Iran,,
Montivipera_raddei,Mradd,Montivipera raddei raddei (Boettger 1890); Montivipera raddei kurdistanica (Nilson & Andrén 1986),Boettger 1890,Montivipera,Viperinae,Viperinae,"Caucasus Viper; German: Armenische Bergotter, Raddes Otter",1100,TL,687.79,,roll,,,Armenia; Azerbaijan; Iran; Iraq; Turkey,,
Montivipera_wagneri,Mwagn,,Nilson & Andrén 1984,Montivipera,Viperinae,Viperinae,Wagner's Viper; German: Wagners Bergotter,950,TL,448.93,,roll,,,Turkey,,
Montivipera_xanthina,Mxant,Montivipera xanthina xanthina (Gray 1849); Montivipera xanthina nilsoni (Cattaneo 2014); Montivipera xanthina dianae (Cattaneo 2014); Montivipera xanthina occidentalis (Cattaneo 2017),Gray 1849,Montivipera,Viperinae,Viperinae,"Coastal Viper, Ottoman Viper; German: (Kleinasiatische oder Türkische) Bergotter",1300,TL,1118.34,,roll,,,Greece; Turkey,,
Ophryacus_smaragdinus,Osmar,,"Grünwald, Jones, Franz-Chávez & Ahumada-Carillo 2015",Ophryacus,NW_Crotalinae,Crotalinae,Emerald Horned Pitviper,700,TL,184.6,,X,,,Mexico,,
Ophryacus_sphenophrys,Osphe,,Smith 1960,Ophryacus,NW_Crotalinae,Crotalinae,Broad-horned Pitviper,700,TL,184.6,,X,,,Mexico,,
Ophryacus_undulatus,Oundu,,Jan 1859,Ophryacus,NW_Crotalinae,Crotalinae,"Slender-horned Pitviper, Mexican Horned Pit Viper",700,TL,184.6,,X,,,Mexico,,
Ovophis_convictus,Oconv,,Stoliczka 1870,Ovophis,OW_Crotalinae,Crotalinae,Indo-Malayan mountain pitviper; German: Indo-Malaiische Berg-Grubenotter,1150,TL,782.76,,roll,,,China; Indonesia; Laos; Malaysia; Myanmar; Singapore; Thailand; Vietnam,,
Ovophis_makazayazaya,Omaka,,Takahashi 1922,Ovophis,OW_Crotalinae,Crotalinae,Taiwan mountain pitviper; Chinese: 台湾烙铁头蛇,1100,TL,687.79,,roll,,,Taiwan,,
Ovophis_monticola,Omont,,Günther 1864,Ovophis,OW_Crotalinae,Crotalinae,"Chinese Mountain Pit Viper (orientalis: Oriental mountain pitviper, zhaokentangi: Gaoligong mountain pitviper); German: Berg-Grubenotter; Chinese: 山烙铁头蛇",1250,TL,997.72,,roll,,,Bangladesh; Bhutan; China; Hong Kong S.A.R.; India; Laos; Macau S.A.R; Myanmar; Nepal; Taiwan; Vietnam,,
Ovophis_okinavensis,Ookin,,Boulenger 1892,Ovophis,OW_Crotalinae,Crotalinae,"Ryukyu Island Pit Viper, Okinawa pitviper",1000,TL,521.19,,roll,,,Japan,,
Ovophis_tonkinensis,Otonk,,Bourret 1934,Ovophis,OW_Crotalinae,Crotalinae,Tonkin pitviper; Chinese: 越南烙铁头蛇,561,TL,96.94,,roll,,,China; Vietnam,,
Ovophis_zayuensis,Ozayu,,Jiang 1977,Ovophis,OW_Crotalinae,Crotalinae,Zayuan mountain pitviper; German: Zayuan Grubenotter; Chinese: 察隅烙铁头蛇,580,TL,106.8,,roll,,,China; India,,
Porthidium_arcosae,Parco,,Schätti & Kramer 1993,Porthidium,NW_Crotalinae,Crotalinae,Manabi Hognose Pitviper,726,TL,205.27,,X,,,Ecuador,,
Porthidium_dunni,Pdunn,,Hartweg & Oliver 1938,Porthidium,NW_Crotalinae,Crotalinae,Dunn's Hognose Viper,542,TL,87.69,,X,,,Mexico,,
Porthidium_hespere,Phesp,,Campbell 1976,Porthidium,NW_Crotalinae,Crotalinae,Western Hognose Viper,579,TL,106.27,,X,,,Mexico,,
Porthidium_lansbergii,Plans,Porthidium lansbergii hutmanni (Sandner-Montilla 1989); Porthidium lansbergii lansbergii (Schlegel 1841); Porthidium lansbergii rozei (Peters 1968),Schlegel 1841,Porthidium,NW_Crotalinae,Crotalinae,,900,TL,383.57,,X,,,Colombia; Panama; Venezuela,,
Porthidium_nasutum,Pnasu,,Bocourt 1868,Porthidium,NW_Crotalinae,Crotalinae,"Hognosed Pit Viper; German: Nasenlanzenotter, Regenwald-Stülpnasenotter; Spanish: Víbora de hoja nasal",635,TL,139.02,,X,,,Belize; Colombia; Costa Rica; Ecuador; Guatemala; Honduras; Mexico; Nicaragua; Panama,,
Porthidium_ophryomegas,Pophr,,Bocourt 1868,Porthidium,NW_Crotalinae,Crotalinae,Slender Hognose Viper; German: Westliche Stülpnasenotter,800,TL,272.27,,X,,,Costa Rica; El Salvador; Guatemala; Honduras; Nicaragua,,
Porthidium_porrasi,Pporr,,Lamar 2003,Porthidium,NW_Crotalinae,Crotalinae,German: Weißschwanz-Stülpnasenotter,700,TL,184.6,,X,,,Costa Rica,,
Porthidium_volcanicum,Pvolc,,Solorzano 1995,Porthidium,NW_Crotalinae,Crotalinae,German: Costa-Rica-Stülpnasenotter,536,TL,84.89,,X,,,Costa Rica; Panama,,
